team_id,code,hex_bg,hex_text,hex_ol,team_name,status,league,division,w,l,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,x,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12p,13p,14p,15p,16p,17p,18p,19p,20p,21p,22p,23p,24p,25p,26p,27p,28p,29p,30p,31p,32p,33p,xp,1avg,2avg,3avg,4avg,5avg,6avg,7avg,8avg,9avg,10avg,11avg,12avg,13avg,14avg,15avg,16avg,17avg,18avg,19avg,20avg,21avg,22avg,23avg,24avg,25avg,26avg,27avg,28avg,29avg,30avg,31avg,32avg,33avg,xavg,runs,runs_adj,center_of_gravity
118,kc,0031A7,FFFFFF,,Kansas City Royals,Home,American,Central,13,10,6.0,12.0,11.0,21.0,4.0,22.0,17.0,11.0,5.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,7.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,0.2608695652173913,0.5217391304347826,0.4782608695652174,0.9130434782608695,0.17391304347826086,0.9565217391304348,0.7391304347826086,0.4782608695652174,0.38461538461538464,1.5,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.75,116.0,628.0,5.413793103448276
118,kc,0031A7,FFFFFF,,Kansas City Royals,Away,American,Central,6,12,6.0,3.0,2.0,7.0,3.0,7.0,9.0,7.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.3888888888888889,0.16666666666666666,0.3888888888888889,0.5,0.3888888888888889,0.2777777777777778,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,53.0,307.0,5.7924528301886795
118,kc,0031A7,FFFFFF,,Kansas City Royals,Total,American,Central,19,22,12.0,15.0,13.0,28.0,7.0,29.0,26.0,18.0,10.0,7.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,11.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,31.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,0.2926829268292683,0.36585365853658536,0.3170731707317073,0.6829268292682927,0.17073170731707318,0.7073170731707317,0.6341463414634146,0.43902439024390244,0.3225806451612903,1.75,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.8333333333333333,169.0,935.0,5.5325443786982245
142,min,091F3F,E41D34,FFFFFF,Minnesota Twins,Home,American,Central,10,10,17.0,12.0,13.0,16.0,13.0,5.0,8.0,11.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.85,0.6,0.65,0.8,0.65,0.25,0.4,0.55,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,428.0,4.28
142,min,091F3F,E41D34,FFFFFF,Minnesota Twins,Away,American,Central,8,13,5.0,13.0,14.0,8.0,10.0,6.0,12.0,12.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.23809523809523808,0.6190476190476191,0.6666666666666666,0.38095238095238093,0.47619047619047616,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,94.0,499.0,5.308510638297872
142,min,091F3F,E41D34,FFFFFF,Minnesota Twins,Total,American,Central,18,23,22.0,25.0,27.0,24.0,23.0,11.0,20.0,23.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,31.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,0.5365853658536586,0.6097560975609756,0.6585365853658537,0.5853658536585366,0.5609756097560976,0.2682926829268293,0.4878048780487805,0.5609756097560976,0.5806451612903226,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.25,194.0,927.0,4.778350515463917
133,ath,024638,FFFFFF,EFB21E,Athletics,Home,American,West,8,8,6.0,11.0,6.0,13.0,14.0,8.0,13.0,6.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,0.375,0.6875,0.375,0.8125,0.875,0.5,0.8125,0.375,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,81.0,396.0,4.888888888888889
133,ath,024638,FFFFFF,EFB21E,Athletics,Away,American,West,13,11,13.0,7.0,20.0,8.0,13.0,5.0,9.0,8.0,11.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5416666666666666,0.2916666666666667,0.8333333333333334,0.3333333333333333,0.5416666666666666,0.20833333333333334,0.375,0.3333333333333333,0.4583333333333333,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.5,95.0,450.0,4.7368421052631575
133,ath,024638,FFFFFF,EFB21E,Athletics,Total,American,West,21,19,19.0,18.0,26.0,21.0,27.0,13.0,22.0,14.0,11.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,34.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,0.475,0.45,0.65,0.525,0.675,0.325,0.55,0.35,0.3235294117647059,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,0.8333333333333334,176.0,846.0,4.806818181818182
117,hou,002147,FFFFFF,D84E25,Houston Astros,Home,American,West,9,10,16.0,7.0,17.0,1.0,18.0,12.0,7.0,9.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8421052631578947,0.3684210526315789,0.8947368421052632,0.05263157894736842,0.9473684210526315,0.631578947368421,0.3684210526315789,0.47368421052631576,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,92.0,414.0,4.5
117,hou,002147,FFFFFF,D84E25,Houston Astros,Away,American,West,7,15,14.0,11.0,7.0,17.0,14.0,7.0,7.0,15.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6363636363636364,0.5,0.3181818181818182,0.7727272727272727,0.6363636363636364,0.3181818181818182,0.3181818181818182,0.6818181818181818,0.4090909090909091,1.5,,,,,,,,,,,,,,,,,,,,,,,,1.5,104.0,517.0,4.971153846153846
117,hou,002147,FFFFFF,D84E25,Houston Astros,Total,American,West,16,25,30.0,18.0,24.0,18.0,32.0,19.0,14.0,24.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,32.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.7317073170731707,0.43902439024390244,0.5853658536585366,0.43902439024390244,0.7804878048780488,0.4634146341463415,0.34146341463414637,0.5853658536585366,0.40625,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,196.0,931.0,4.75
