team_id,code,hex_bg,hex_text,hex_ol,team_name,status,league,division,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,x,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12p,13p,14p,15p,16p,17p,18p,19p,20p,21p,22p,23p,24p,25p,26p,27p,28p,29p,30p,31p,32p,33p,xp,1avg,2avg,3avg,4avg,5avg,6avg,7avg,8avg,9avg,10avg,11avg,12avg,13avg,14avg,15avg,16avg,17avg,18avg,19avg,20avg,21avg,22avg,23avg,24avg,25avg,26avg,27avg,28avg,29avg,30avg,31avg,32avg,33avg,xavg,runs,runs_adj,center_of_gravity
134,pit,2A2723,FFC82E,,Pittsburgh Pirates,Home,National,Central,13,11,3,11,15,19,3,12,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,14,14,14,14,14,14,14,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9285714285714286,0.7857142857142857,0.21428571428571427,0.7857142857142857,1.0714285714285714,1.3571428571428572,0.21428571428571427,0.8571428571428571,0.42857142857142855,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0,0.8,92,445,4.836956521739131
134,pit,2A2723,FFC82E,,Pittsburgh Pirates,Away,National,Central,3,0,1,3,5,2,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,8,8,8,8,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.375,0.0,0.125,0.375,0.625,0.25,0.0,0.25,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,0,3.0,23,137,5.956521739130435
134,pit,2A2723,FFC82E,,Pittsburgh Pirates,Total,National,Central,16,11,4,14,20,21,3,14,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,22,22,22,22,22,22,22,15,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.7272727272727273,0.5,0.18181818181818182,0.6363636363636364,0.9090909090909091,0.9545454545454546,0.13636363636363635,0.6363636363636364,0.4666666666666667,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0,1.1666666666666667,115,582,5.060869565217391
138,stl,CE0027,FFFFFF,012342,St. Louis Cardinals,Home,National,Central,7,3,10,5,0,5,7,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.45454545454545453,0.0,0.45454545454545453,0.6363636363636364,0.5454545454545454,0.2857142857142857,1.0,,,,,,,,,,,,,,,,,,,,,,,0,0.0,46,218,4.739130434782608
138,stl,CE0027,FFFFFF,012342,St. Louis Cardinals,Away,National,Central,7,1,9,4,11,2,9,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,10,10,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0.1,0.9,0.4,1.1,0.2,0.9,1.0,0.6,3.0,,,,,,,,,,,,,,,,,,,,,,,0,3.0,62,346,5.580645161290323
138,stl,CE0027,FFFFFF,012342,St. Louis Cardinals,Total,National,Central,14,4,19,9,11,7,16,16,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,21,21,21,21,21,21,21,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6666666666666666,0.19047619047619047,0.9047619047619048,0.42857142857142855,0.5238095238095238,0.3333333333333333,0.7619047619047619,0.7619047619047619,0.47058823529411764,2.0,,,,,,,,,,,,,,,,,,,,,,,0,1.5,108,564,5.222222222222222
109,ari,A6192E,2CCCD3,,Arizona Diamondbacks,Home,National,West,4,9,2,4,5,9,11,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.9,0.2,0.4,0.5,0.9,1.1,1.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,0,,58,315,5.431034482758621
109,ari,A6192E,2CCCD3,,Arizona Diamondbacks,Away,National,West,1,2,4,8,6,8,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,9,9,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.1111111111111111,0.0,0.4444444444444444,3.0,,,,,,,,,,,,,,,,,,,,,,,0,3.0,37,200,5.405405405405405
109,ari,A6192E,2CCCD3,,Arizona Diamondbacks,Total,National,West,5,11,6,12,11,17,12,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,19,19,19,19,19,19,19,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2631578947368421,0.5789473684210527,0.3157894736842105,0.631578947368421,0.5789473684210527,0.8947368421052632,0.631578947368421,0.5789473684210527,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,0,3.0,95,515,5.421052631578948
115,col,1D1D1D,380982,84888B,Colorado Rockies,Home,National,West,9,10,2,6,3,8,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.8333333333333334,0.16666666666666666,0.5,0.25,0.6666666666666666,0.5833333333333334,0.5,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,0,,53,237,4.471698113207547
115,col,1D1D1D,380982,84888B,Colorado Rockies,Away,National,West,6,4,5,3,5,2,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,0,,39,191,4.897435897435898
115,col,1D1D1D,380982,84888B,Colorado Rockies,Total,National,West,15,14,7,9,8,10,13,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.6190476190476191,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,0,,92,428,4.6521739130434785
119,lad,003479,FFFFFF,,Los Angeles Dodgers,Home,National,West,7,3,8,7,0,8,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.7777777777777778,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.75,,,,,,,,,,,,,,,,,,,,,,,,0,,44,203,4.613636363636363
119,lad,003479,FFFFFF,,Los Angeles Dodgers,Away,National,West,4,11,15,7,7,3,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923076923077,0.8461538461538461,1.1538461538461537,0.5384615384615384,0.5384615384615384,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.6923076923076923,,,,,,,,,,,,,,,,,,,,,,,,0,,61,271,4.442622950819672
119,lad,003479,FFFFFF,,Los Angeles Dodgers,Total,National,West,11,14,23,14,7,11,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6363636363636364,1.0454545454545454,0.6363636363636364,0.3181818181818182,0.5,0.13636363636363635,0.45454545454545453,0.7058823529411765,,,,,,,,,,,,,,,,,,,,,,,,0,,105,474,4.514285714285714
135,sd,2F241D,FFC425,,San Diego Padres,Home,National,West,3,5,4,4,5,3,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,,38,198,5.2105263157894735
135,sd,2F241D,FFC425,,San Diego Padres,Away,National,West,2,4,2,8,6,3,8,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.5454545454545454,0.2727272727272727,0.7272727272727273,0.6363636363636364,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,0,,50,298,5.96
135,sd,2F241D,FFC425,,San Diego Padres,Total,National,West,5,9,6,12,11,6,11,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.45,0.3,0.6,0.55,0.3,0.55,0.65,0.9375,,,,,,,,,,,,,,,,,,,,,,,,0,,88,496,5.636363636363637
137,sf,2A2723,FF4819,,San Francisco Giants,Home,National,West,7,2,1,0,5,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.0,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,,31,148,4.774193548387097
137,sf,2A2723,FF4819,,San Francisco Giants,Away,National,West,3,9,2,3,2,5,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,12,12,12,12,12,12,12,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.25,0.75,0.16666666666666666,0.25,0.16666666666666666,0.4166666666666667,0.5,0.0,0.16666666666666666,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0.2,33,151,4.575757575757576
137,sf,2A2723,FF4819,,San Francisco Giants,Total,National,West,10,11,3,3,7,11,13,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,21,21,21,21,21,21,21,16,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.47619047619047616,0.5238095238095238,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5238095238095238,0.6190476190476191,0.14285714285714285,0.125,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0.2,64,299,4.671875
